Id,NeighbourHood,Area,FloorLevel,Rooms,Age,Parking,StoreRoom,Elevator,Balcony,TotalFloors,DocumentType,Equipments,Facade,PricePerMeter,TotalPrice
1,دربند خ گلابدره خ زیردست,73,4,1,20,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,78082000,5700000000
2,نامجو نرسیده به خ قجاوند,57,3,1,5,0,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,68421000,3900000000
3,اتوبان بابایی بعد از پل لشگرك,93,1,2,3,1,1,1,1,12,تعاوني,"شوفاژ,کولر,آسانسور,گاز",سيمان و شيشه,98920000,9200000000
4,تهران پارس شهرك شاهد,74,2,2,25,0,1,0,0,3,شخصي,"کولر,گاز",سنگ,70270000,5200000000
5,بلوارمرزداران خ آرش,150,2,3,0,1,1,1,1,5,شخصي,"آسانسور,پکیج",سنگ,128266000,19240000000
6,نظام آباد خ مدنی جنوبی خ بخشی فرد,100,5,2,2,1,0,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,60000000,6000000000
7,نظام آباد خ مدنی جنوبی,133,3,3,0,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,60000000,7980000000
8,دبستان نرسیده به آریان محمودی,75,1,2,25,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",آجر سه سانت,75000000,5625000000
9,پیروزی خ پاسدارگمنام خ لرستانی,95,1,2,17,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,52640000,5000000000
10,گیشا بالاتر از خ 29,158,5,3,3,1,1,1,1,5,شخصي,"فن کوئر,آسانسور,حیاط,گاز",سنگ,140506000,22200000000
11,جمالزاده شمالی بالاتر از ك اخوان,145,4,3,30,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,58620000,8500000000
12,ستارخان بعد از خ نیایش,47,2,1,25,0,1,0,1,4,شخصي,"شوفاژ,پکیج,گاز",سنگ,106382000,5000000000
13,جنت آباد مركزی نرسیده به خ دانش,135,3,3,10,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج",سنگ,122222000,16500000000
14,ملاصدرا شیرازجنوبی,120,5,2,7,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,130000000,15600000000
15,تهران پارس خ 156 غربی,150,4,3,3,1,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,110000000,16500000000
16,سعادت آباد چهارراه سرو خ بخشایش,126,2,3,24,0,0,1,1,5,شخصي,"شوفاژ,کولر,آسانسور",سنگ,119047000,15000000000
17,جلفا ك درنا,105,3,2,15,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,135000000,14175000000
18,فاطمی نرسیده به چهارراه جمالزاده,119,2,2,0,1,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,130000000,15470000000
19,تهران پارس بلوار پروین خ 212 شرقی,55,4,1,0,0,1,0,0,4,قولنامه اي,"کولر,گاز",سنگ,27270000,1500000000
20,طرشت شمالی بالاتر از بانك صادرات,102,1,2,0,1,1,1,1,4,شخصي,"کولر,آسانسور,پکیج",ترکیبی,100000000,10200000000
21,پیروزی بلوارابوذر,87,1,2,0,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,100000000,8700000000
22,طرشت خ لطفعلی خانی,88,1,2,5,1,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,90000000,7920000000
23,تهران پارس خ استخر,67,5,1,5,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,89550000,6000000000
24,بلوار مرزداران خ گلستان,51,0,1,21,0,0,0,0,5,شخصي,"شوفاژ,کولر,پکیج,گاز",سنگ,117647000,6000000000
25,سعادت آباد بلوار پاكنژاد,90,1,2,4,1,1,1,1,6,دردست اقدام,"کولر,آسانسور,پکیج,گاز",سنگ,150000000,13500000000
26,پیروزی خ پرستار,143,4,3,0,1,0,1,1,5,شخصي,"کولر,آسانسور,پکیج",سنگ,85000000,12155000000
27,فاطمی میدان گلها,100,4,2,20,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,75000000,7500000000
28,پیروزی بلوارابوذر,87,1,2,0,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,100000000,8700000000
29,تهران پارس خ استخر خ فراهانی,95,8,2,2,1,1,1,1,8,تعاوني,"کولر,آسانسور,گاز",سيمان,89470000,8500000000
30,قیطریه بالاتر از بلوار كاوه,86,3,2,5,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,160000000,13760000000
32,قیطریه سهیل,155,2,3,30,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سيمان,180000000,27900000000
33,توانیر خ نظامی گنجوی,105,1,2,5,1,1,1,1,6,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,123809000,13000000000
34,اختیاریه جنوبی نرسیده به خ محسنیان,114,1,2,15,1,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,114035000,13000000000
35,حكیمیه بهار,65,8,1,12,0,1,1,0,9,قولنامه اي,"شوفاژ,کولر,آسانسور,گاز",سنگ,58460000,3800000000
36,تهرانپارس خ اتحاد,127,3,3,2,1,1,1,0,7,تعاوني,"شوفاژ,کولر,آسانسور,گاز",سنگ,51180000,6500000000
37,دولت نرسیده به خ عین آبادی,155,3,3,2,1,1,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,155000000,24025000000
38,نارمك میدان 53,70,1,2,6,0,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,104285000,7300000000
39,جلال آل احمد خ پروانه,108,4,2,10,1,0,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,109259000,11800000000
40,بلوار كشاورز خ طوس,48,-1,1,22,0,0,0,0,4,شخصي,"شوفاژ,کولر,گاز",آجر,62500000,3000000000
41,امیرآباد كارگر شمالی,85,4,2,21,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,94117000,8000000000
42,سعادت آباد میدان كتاب بلواركوهستان,127,2,3,20,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,125984000,16000000000
43,تهرانپارس خ وفادار شرقی خ الله اكبر,78,3,2,5,0,0,0,0,4,قولنامه اي,"کولر,گاز",سنگ,38460000,3000000000
44,سعادت آباد شهرك مخابرات خ پیوند,120,1,2,20,1,1,0,0,2,شخصي,"شوفاژ,کولر,حیاط,گاز",سنگ,26923000,28000000000
45,سعادت آباد میدان كتاب خ احسان جنوبی,81,2,1,26,0,0,0,1,5,شخصي,"شوفاژ,کولر,گاز",سنگ,111111000,9000000000
46,نارمك میدان 60,73,3,2,30,1,0,0,0,3,شخصي,"شوفاژ,کولر",سنگ,106849000,7800000000
47,شهرك غرب بلوار پاكنژاد,120,4,2,0,1,1,1,0,6,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,145000000,17400000000
48,دبستان نرسیده به ك بیات,95,2,2,30,0,1,0,0,3,شخصي,"کولر,پکیج,جکوزی,گاز",سنگ,91578000,8700000000
49,گاندی جنوبی نرسیده به خ سوم,81,3,1,2,1,0,1,1,5,شخصي,آسانسور,سنگ,160000000,12960000000
50,شهیدعراقی خ كشوری,123,4,2,21,0,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,89430000,11000000000
51,سعادت آباد نرسیده به خ یكم,215,1,3,9,1,1,1,1,6,شخصي,"کولر,آسانسور,چیلر,گاز",سنگ,232558000,50000000000
52,شهرك غرب بلوار فرحزادی خ طاهرخانی,75,2,2,20,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",آجر,120000000,9000000000
53,تجریش خ فناخسرو,320,2,5,15,1,1,1,1,10,شخصي,"کولر,فن کوئر,آسانسور,چیلر,گاز",سنگ,190000000,60800000000
54,تهرانپارس فلكه اول,100,2,2,30,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,100000000,10000000000
55,یوسف آباد روبروی پارك شفق,180,2,3,0,1,1,1,1,5,شخصي,"کولر,آسانسور,گاز",ترکیبی,165000000,29700000000
56,دروس خ هدایت,275,5,4,14,1,1,1,0,8,شخصي,"کولر,فن کوئر,آسانسور,چیلر,پکیج,جکوزی,گاز",سنگ,249000000,68475000000
57,نارمك خ قنبریان,53,4,1,18,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,79245000,4200000000
58,فرمانیه خ سعیدی,211,6,3,5,1,1,1,1,10,شخصي,"کولر,آسانسور,چیلر,گاز",سنگ,210000000,44310000000
59,بلواركشاورز زرتشت غربی,171,6,3,30,1,1,1,1,6,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,95000000,16245000000
61,تهرانپارس 220شرقی,100,2,2,0,1,1,1,1,6,شخصي,"کولر,آسانسور,گاز",سنگ,90000000,9000000000
62,وحیدیه روبروی پارك تسلیحات,52,4,1,0,0,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,86538000,4500000000
63,اشرفی اصفهانی خ نفت,114,2,2,16,1,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,124561000,14200000000
64,جنت آباد مركزی خ رجب صلاحی,119,1,2,25,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,105042000,12500000000
65,مجیدیه شمالی میدان ملت,100,0,2,19,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,100000000,10000000000
66,نارمك میدان 41,90,3,2,15,1,1,0,0,4,شخصي,"شوفاژ,کولر,گاز",سنگ,100000000,9000000000
67,شهر آرا خ منصوری كیا بالاتر از كابلی ك 17 پ 4,125,7,3,0,1,1,1,1,7,شخصي,"آسانسور,حیاط,زیر زمین,مستخدم,گاز",تراورتن,140000000,17500000000
68,جنت آباد مركزی خ مخبری,132,2,2,0,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,130000000,17160000000
69,اشرفی اصفهانی باغ فیض خ 22 بهمن,118,1,2,0,1,1,1,1,5,شخصي,"کولر,آسانسور,گاز",سنگ,120000000,14160000000
70,جنت آباد جنوبی خ لاله غربی,133,1,2,0,1,1,1,1,4,شخصي,"کولر,آسانسور,گاز",سنگ,130000000,17290000000
71,خ دماوند خ اشراقی,90,3,2,16,1,1,0,1,4,شخصي,"کولر,پکیج,گاز",سنگ,70000000,6300000000
72,پاسداران سه راه ضرابخانه خ سروستان,86,4,2,22,0,1,0,1,4,شخصي,"شوفاژ,کولر,پکیج,گاز",آجر,87209000,7500000000
73,تهرانپارس فلكه اول خ 152 غربی,63,1,1,25,0,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور",سنگ,100000000,6300000000
74,تهران پارس خ 210 شرقی,67,1,2,18,1,1,0,1,4,شخصي,"شوفاژ,کولر",گرانيت,98507000,6600000000
75,تهران پارس 174/1 غربی,108,5,2,0,1,1,1,1,6,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,138888000,15000000000
76,شریعتی نرسیده به تجریش,82,2,2,0,1,1,1,0,4,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,145000000,11890000000
77,دلاوران خ تكاوران شمالی,67,1,1,22,1,1,0,0,3,شخصي,"کولر,گاز",سنگ,104470000,7000000000
78,دلاوران آزادگان,72,2,2,17,0,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,69440000,5000000000
79,اشرفی اصفهانی شهرك نفت,114,2,2,15,0,1,0,1,4,شخصي,"کولر,پکیج,گاز",سنگ,94736000,10800000000
80,جنت آباد ایرانپارس خ جوانمرد,120,2,2,30,1,1,0,1,2,شخصي,"کولر,گاز",سيمان,220000000,22000000000
81,مینی سیتی میدان شاهد خ نخل,130,1,2,26,1,1,0,1,2,شخصي,"شوفاژ,کولر,گاز",آجر سه سانت,111538000,14500000000
82,شادآباد خ 15متری دوم جنوبی ك قورچیان پ 25,76,2,2,13,1,1,0,1,4,شخصي,"کولر,گاز",سنگ,46000000,3496000000
83,پیروزی خ زینتی افخم بالاتراز بلوار نیكنام شرقی,44,1,1,20,0,1,0,0,4,شخصي,"کولر,گاز",سنگ,63636000,2800000000
84,فلاح خ بهبودی شمالی كوچه آهنگری پ 18,93,1,2,8,0,1,1,0,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,64200000,6100000000
85,پیروزی خ پاسدارگمنام خ صالحی,123,2,2,0,1,1,1,1,6,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,69105000,8500000000
86,خ دماوند خ یونسیان,82,3,2,20,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,80000000,6560000000
87,هروی حسین آباد,181,6,3,0,1,1,1,1,11,شخصي,"کولر,آسانسور,گاز",ترکیبی,130000000,23530000000
88,نیرو هوایی خ 30 متری,97,4,2,22,1,1,0,1,4,شخصي,"کولر,گاز",سنگ,65979000,6400000000
89,مینی سیتیشهرك محلاتی,150,3,3,0,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,130000000,19500000000
92,نارمك نرسیده به خ مهرنژاد,71,2,2,14,0,1,1,1,4,شخصي,"شوفاژ,کولر,آسانسور,حیاط,پکیج",سنگ,76760000,5450000000
